abandoned	आबुध्त
wish you all the best	त्वह्यं शुभांकक्षा
wish	इच्छा
witch	कृत्यका
withdrawal	निर्ह्वे
withdraw	निर्ह्वयति
within	अन्तरा
without	विना
with	सह
witness	साक्षी
witty	चपल
wolf	लोमशा
woman	महिला
women	नार्यः
wonderful	अद्भुतः
wonder	विस्मयः
won't	असंभव
won	विजित
wood	काष्ठ
wool	ऊर्णा
words	शब्दाः
word	शब्दः
working	करोति
work out	व्यायाम
work	कार्यम्‌
world	विश्वम्‌
worm	कीट
worn	वेष्टि
worried	चिंतित
worry	चिंता
worse	दूषितः
worship	पूज़्
worst	सर्वथा निष्क्रिष्टा
worth it	सुयोग्यं
worthy	योग्य
worth	मूल्यम्‌
would	चेत्‌
wound	क्षत
Wow	अहो
wrap	उपवे
wrath	रोष
wrist	मणिबन्ध
Write here	अत्र लिखतु
write	लिखतु
writing	लेखन
written	लिखित
wrong	दोषपूर्णः
wrote	लिखित्वा
yard	अङ्गण
yawn	जृम्भ्
Yeah	आम्‌
years	वर्षाः
year	वर्ष
yeast	प्रकिण्व
yellow	पीतं
yell	चीत्कार
yes baby	आं शिशुं
yes dear	आं प्रिये
yes honey	आम मधुप्रिये
yes my love	आम्‌ मम प्रिये
yes of course	निश्चितेव
yesterday	ह्यः
Yes	आम्‌
yet	तथापि
yield	लब्धिः
you are beautiful	त्वं सुंदरी असि
you are so beautiful	त्वं इति सुन्दरि
you are welcome	भवतः स्वागतम्‌
you are	त्वं असि
you can	भवान्‌ शक्नोति
You know	भवत् जानसि
young	युवा
you're welcome	तव स्वागतं
you’re welcome	तव स्वागतं
yourself	स्वयमेव
your welcome	त्वां स्वागतं
your	भवतः
youth	युवा
you too	त्वमोपि
you	त्वम्‌
yummy	स्वादिष्ट
zero	शून्य
