a	ၼိူင်ႈဢၼ်
I love my little sister	ႁဝ်းႁၵ်ႉၼွင်ႉယိင်းႁဝ်း
I love my mother	ႁဝ်းႁၵ်ႉမႄႈႁဝ်း
I love you	ႁဝ်းႁၵ်ႉသူ
I love you so much	ႁဝ်းႁၵ်ႉသူ တေႉတေႉ
I love you too	ႁဝ်းၵေႃႈ ႁၵ်ႉသူ
I mean	ၵဝ်ၶႂ်ႈဝႃႈၼႆႉ
I miss you	ႁဝ်းၸႂ်ထိုင်သူ
I miss you so much	ႁဝ်းၸႂ်ထိုင်သူတေႉယဝ်ႉ
I see	ႁဝ်းပွင်ႇၸႂ်ယဝ်ႉ
I think	ၵဝ်ဝူၼ်ႉဝႃႈ
I understand	ႁဝ်းႁူႉပွင်ႇ
I want	ၵဝ်ၶႂ်ႈလႆႈ
I want to see you	ႁဝ်းၶႂ်ႈထူပ်းသူ
I want you	ႁဝ်းၶႂ်ႈလႆႈ
I was	ႁဝ်းပဵၼ်မႃး
I will	ႁဝ်းတေ
I would be	ႁဝ်းၶႂ်ႈပဵၼ်
I'm	ႁဝ်းပဵၼ်
I'm fine	ႁဝ်းယူႇလီယူႇ
I'm good	ႁဝ်းယူႇလီယူႇ
I'm here	ႁဝ်းမီးၼႆႈ
I'm sorry	ၶႂၢင်းပၼ်ႁဝ်းသေၵမ်း
ice	ၼမ်ႉၶႅင်
ice cream	ၼမ်ႉမူၺ်
idea	တၢင်းဝူၼ်ႉ
ideal	တၢင်းဝူၼ်ႉ
identical	ဢမ်ႇၸႂ်ႈတၢင်ႇဢၼ်
identify	မၵ်းမၼ်ႈ
identity	ၼေလၵ်းထၢၼ်
idiot	ၵူၼ်းၵႅၵ်း
idle	ဢမ်ႇလႆႈလွင်ႈ
if	သင်ဝႃႈ
ignore	ပိုၼ်ႉပႅတ်ႈ
ill	ၼၢဝ်
illegal	သၢၼ်ၶတ်းလၵ်းမိူင်း
illness	ၼၢဝ်
Ilocano	ၶိူဝ်းဢီႇလူဝ်ႇၶႃႇလူဝ်ႇ
image	ပုင်ႇႁၢင်ႊ
imagine	ဝူၼ်ႉႁၼ်
immediate	ၵမ်းသိုဝ်ႈ
immediately	ၵမ်းလဵဝ်
immense	ယႂ်ႇလူင်
impact	တဵၵ်းသႂ်ႇ
impact	တိူဝ်ႉသႂ်ႇႁႅင်း
impatient	ၸႂ်ပွတ်း
implement	ႁဵတ်းႁႂ်ႈယဝ်ႉ
import	ၵုၼ်ႇသႂၢင်း
import	လၢၵ်ႇလၢႆး
important	လမ်ႇလွင်ႈ
impose	မၵ်ႉမၼ်ႈတၢင်းၽိတ်း
impossible	ဢမ်ႇပဵၼ်လႆႈ
impress	လႆႈၸႂ်
impression	တၢင်းႁၼ်ထိုင်
impressive	လီထၢင်ႇယႂ်ႇ
improve	တိူဝ်းတွၼ်းၶိုၼ်ႈယႂ်ႇမႃး
improvement	ႁုၼ်ႈမုၼ်း
in	တၢင်းၼႂ်း
in addition	သႂ်ႇထႅင်ႈ
In fact	ဝႃႈမႃးတေႉၵေႃႈ
in front of	တၢင်းၼႃႈ
in order to	ၶပ်ႉထၢမ်း
inappropriate	ဢမ်ႇလႅၵ်ႈသၢၵ်ႈ
incentive	ပၼ်ႁႅင်း
incident	လၢႆးပဵၼ်
include	ၶဝ်ႈပႃးဝႆႉ
including	ၶဝ်ႈပႃးဝႆႉ
income	ငိုၼ်းၶဝ်ႈ
inconvenience	သၢႆငၢႆဢမ်ႇၶႅမ်ႉ
increase	တိူဝ်းၼမ်မႃး
increased	ၼမ်ၶိုၼ်ႈမႃး
incredible	ၶိုၵ်ႉၶႅမ်ႉ
indeed	တီႈတႄႉမၼ်း
independent	လွင်ႈလွတ်ႈလႅဝ်း
India	မိူင်းဢိၼ်းယႂ်း
indicate	ယိူင်းၸူး
indigenous	ပဵၼ်ၸၢဝ်းၶိူဝ်း
individual	လၢႆးၵေႃႉ
industry	ႁူင်းၸၢၵ်ႈ
inevitable	ဢၼ်ယၢမ်ႈပဵၼ်
infant	ဢေလႅင်
infection	ၸပ်းတၢင်းပဵၼ်
infinity	မိုၼ်ႇမုင်ႊ
inflammation	ၵႂ်ႊ
inflation	ငိုၼ်းၵႂ်ႊ
influence	ႁႅင်းပွင်ႊ
influence	ႁူမ်ႇမုင်း
inform	ပွင်ႇလႅင်း
information	ၶေႃႈမုၼ်း
ingredients	ၶဝ်ႈၶိုင်
inheritance	ပုတ်ႈၶူဝ်းပုတ်ႈ
initial	ဢၼ်တႄႇ
initiative	ဢွၼ်ၼႃႈ
injured	မၢတ်ႇၸဵပ်း
injury	သမ်းၶဵမ်
innocent	ဢမ်ႇမီးတၢင်းၽိတ်း
innovation	လႅၵ်ႈလၢႆႊလၢႆးမႂ်ႇ
inquiry	ၸွပ်ႇထၢမ်
insane	ၸႂ်ဢမ်ႇလီ
insect	မူင်ႈမႅင်း
insecure	ႁၢမ်းလွင်ႈၵႅတ်ႈၵင်ႈ
insert	မူင်ႈမႅင်း
inside	တၢင်းၼႂ်း
insight	ၺၢၼ်ႇႁၼ်ထိုင်လွၼ်ႉ
insist	တိုၵ်းသူၼ်းတေႉဝႃႈ
insomnia	တၢင်းပဵၼ် ၼွၼ်းဢမ်ႇလႆႈ
inspiration	ၶူင်ႉထူၺ်ႈၸႂ်
inspire	ယူင်းသေႃႇ
install	သႂၢင်းသႂ်ႇ
instance	ပိူင်ပဵၼ်
instant	တႃႉဢဝ် ၼႆႉတႅၼ်း
instead	ၽိူဝ်ႇတႃႉ
instead of	တႃႉတိုဝ်း
instructions	ၶေႃႈပၼ်ဝႆႉ
instrument	ၶိူင်ႈႁႆႇတိုင်ႈ
insult	လႃႇ
insurance	ႁပ်ႉပဝ်ႊ
intact	တိုၵ်ႉလီယူႇ
integrity	သိုဝ်ႈယူဝ်း
intellectual	ၺၢၼ်ႇပၺ်ႇၺႃႇ
intelligence	လႅတ်းၾၢႆ
intelligent	လႅတ်းၽၢႆ
intend	ယိူင်းဢၢၼ်း
intended	ယိူင်းၸူး
intense	ယႂ်ႇႁႅင်းၼႃႇ
intention	ပၵ်းၸႂ်
interact	သူၼ်ၸႂ်
interaction	တုမ်ႉတွပ်ႇ
interest	ၶဝ်ႈၸႂ်
interested	ၶဝ်ႈၸႂ်
interesting	လွင်ႈလီသူၼ်ၸႂ်
interfere	ၶဝ်ႈၵၢင်
intermediate	ၸၼ်ႉၵၢင်
internal	ၽၢႆႇတၢင်းၼႂ်း
international	ၵဵဝ်ႇတင်းၵူႊမိူင်းမိူင်း
internship	ၶၢဝ်းတၢင်းထိင်းသိမ်း
interpret	ၵဵပ်းတီႈပွင်ႇ
interpreter	ၵူၼ်းပိၼ်ႇၾၢၼ်ႊ
interrupt	ၶၢတ်ႇၵႃႇ
interview	သွပ်ႇၸၢမ်း
intimate	ၸမ်ၸႂ်
into	ၶဝ်ႈၵႂႃႇ
introduce	သိုပ်ႇမိုတ်ႈ
introduction	ၶေႃႈၼၢမ်း
introvert	ယူႇပိၼ်ႉယူႇပႅတ်ႈ
intuition	ႁူႉဝႆႉႁင်းၵွၺ်း
invalid	ဢမ်ႇၶဝ်ႈၶႂၢင်ႇတြႃး
invent	ၶူင်ႊသၢင်ႈ
inventory	ၸလၢင်းၵုၼ်ႇ
invest	ၽင်တိုၼ်းလၢင်း
investigate	ၸွပ်ႇထၢမ်
invitation	ၽိတ်ႈႁပ်ႉဢဝ်
invite	ၽိတ်ႈမွၵ်ႇ
invoice	သဵၼ်ႈၶူဝ်းၵုၼ်ႇ
invoice	ႁဵတ်းသဵၼ်ႈ
involve	ၶဝ်ႈပႃးၸွမ်း
involved	ၶဝ်ႈပႃးၸွမ်း
iron	တဵင်ႇသိူဝ်ႈၶူဝ်း
iron	လဵၵ်းၶၢင်
is	ပဵၼ်
island	ၵုၼ်
isolated	ၸႅၵ်ႇဝႆႉ
issue	ပိုၼ်ႊၽၢဝ်ႇ
issue	ပၼ်ႁႃ
issues	လွင်ႈတၢင်း
it	ဢၼ်ၼၼ်ႉ
it is	ၼၼ်ႉပဵၼ်
it was	ၼၼ်ႉပဵၼ်မႃး
it's	ၼၼ်ႉပဵၼ်
it's ok	ၶႅမ်ႉတေႉ
It's okay	ၶႅမ်ႉလႅပ်ႈလီ
item	ၶူဝ်းၸႂ်ႉ
items	ၶူဝ်းၶွင်
its	ၶွင်မၼ်း
I’m	ၵဝ်ပဵၼ်
jacket	သိူဝ်ႈသွၼ်ႉ
jail	ၶွၵ်ႈ
January	လိူၼ်ၼိူင်ႈ
jar	ၵွၵ်းၵႅဝ်ႈလူင်
jaw	ၵွင်ႉၵၢင်း
jealous	သူၺ်ႈ
jerk	ၸၵ်ႉယုပ်း
jewelry	ၶိူင်ႈႁွၺ်ႈၶိူင်ႈတိုဝ်း
job	ၼႃႈၵၢၼ်
jogging	ဢွင်ၸွၵ်း
join	ၶဝ်ႈၸွမ်း
joint	ၼိူဝ်ႉလုပ်ႇ
joke	ၵိူဝ်ႉလဵၼ်ႈ
journalist	ၽူႈတႅမ်ႈလိၵ်ႈ ၸျႃႇၼႄႇ
journey	ၶၢဝ်းတၢင်းယၢဝ်း
joy	ႁုၼ်ႉၼူဝ်
judge	ၽူႈထတ်းသိၼ်
judge	ထတ်းသိၼ်
juice	ၼမ်ႉဝၢၼ်
july	လိူၼ်ၸဵတ်း
jump	ဝႅၼ်
june	လိူၼ်ႁူၵ်း
junk	ၸေႈသႃ
just	ၵူၺ်း
just do it	ႁဵတ်းၼႆႉၵွၺ်ႈလႃႈ
justice	လွင်ႈၽဵင်ႇပဵင်း
justify	မၢၼ်ႇမႅၼ်ႈ
Kalaallisut	ၶိူဝ်းၵူႃႇလႃႇလီႉသုတ်ႉ
keen	ပႃးၸႂ်ပႃးၶေႃး
keep	ၵဵပ်းသိမ်း
keep it up	သိမ်းမၼ်းဝႆႉ
kept	ထိင်းဝႆႉ
kettle	ငွၺ်း
key	ၵၢၵ်ႇသေႃး
kick	ပိတ်ႉ
kid	လုၵ်ႈဢွၼ်ႇ
kidding	ယဝ်ႉလဵၼ်ႈ
kidney	တပ်း
kids	လုၵ်ႈဢွၼ်ႇ
kill	ႁႅမ်
kind	ၸႂ်လီ
kind	ၸိူဝ်ႉၶိူဝ်း
kinda	တၢၼ်ႇတၢၼ်ႇ
kindly	ၸႂ်လီ
kindness	ၸႂ်လီ
king	ၶုၼ်ႁေႃၶမ်း
kiss	ၸုပ်ႇ
kitchen	သိုင်ႇၾႆး
kite	လၢင်းယၢၼ်း
kitten	ဢေမႅဝ်
knee	ၶုပ်ႉၶဝ်ႇ
knee	ႁူဝ်ၶဝ်ႇ
knew	ႁူႉယဝ်ႉ
knife	မိတ်ႈ
knight	ၽူႈႁတ်းႁၢၼ်
know	ႁူႉ
knowledge	တၢင်းႁူႉ
known	ႁူႉယဝ်ႉ
Konkani	ၶူဝ်းၶွၼ်ႇၶႃႇၼီႇ
Krio	ၶိူဝ်းၶရီႇဢူဝ်
label	မိၵ်ႈယႃႈယႃ
label	ၼေၸိုဝ်ႈတွၼ်ႊ
labor	ႁွင်ႈပၢႆးသၢႆႊ
labour	ၵၢၼ်ၵႅမ်း
lack	ႁၢမ်း
ladder	ၶူဝ်လႆ
lady	သၢဝ်
laid	သိူဝ်ႇ
lake	ၼွင်
lamb	ဢေၸဵၼ်ႊ
lame	ၶႃႁၵ်း
lamp	ဢေတူဝ်း
land	ၼိူဝ်လိၼ်
land	လိၼ်
landscape	လႅၼ်ႊမုင်ႈတၢင်းၼွၼ်း
landscape	လႅၼ်ႊမုင်ႈ
language	လိၵ်ႈလၢႆးၵႂၢမ်းလၢတ်ႈ
lap	ၶႃလူင်
large	လူင်
last	လိုၼ်းသုတ်း
last but not least	ၵမ်းလိုၼ်း ၵူၺ်းၵႃႊ ဢမ်ႇၸႂ်ႈတီႈဢေႇသုတ်း
last name	ၸိုဝ်ႈတၢင်းလင်
late	တူၵ်းလိုၼ်း
lately	တူၵ်းလိုၼ်း
later	ဝၢႆးလိုၼ်း
latest	ၵမ်းလိုၼ်း
latter	ဝၢႆးလိုၼ်း
laugh	ၶူဝ်
laughing	ၶူဝ်
laughter	ၵူၼ်းၶူဝ်
launch	တႄႇႁဵတ်းၼႃႈၵၢၼ်
laundry	တီႈသၵ်းၶူဝ်း
law	ပၵ်းပိူင်
lawn	ပၢင်ႇယိူဝ်ႈ
lawyer	ၽူႈတၢင်လၢတ်ႈ
lay	လူမ်ႉ
layer	ထၢပ်ႈ
layout	ထၢပ်ႈ
lazy	ၶၢၼ်ႉ
lead	ဢွၼ်ႁူဝ်
leader	ၽူႈဢွၼ်ႁူဝ်
leaf	မႂ်ႊမႆႉ
leak	ၸိုမ်းဢွၵ်ႇ
lean	ၶွၼ်း
leap	ဢွင်
learn	ႁဵၼ်း
learning	ႁဵၼ်းသွၼ်
lease	လိၵ်ႈၶၢၼ်ႈၼင်လိၼ်
least	တီႈဢေႇသုတ်း
leather	ၼင်
leave	မႂ်ႊမႆႉ
leaves	ဢွၵ်ႇၵႂႃႇ
led	ဢွၼ်ႁူဝ်
left	ၽၢႆႇသၢႆႉ
leg	တိၼ်
legacy	ၶူဝ်းပုတ်ႈ
legal	ၶဝ်ႈၶႂၢင်ႇတြႃး
legend	ဢႃႊသိူၵ်ႈ
legit	ၶဝ်ႈတၢင်းၵၢၼ်
leisure	လိုဝ်ႈႁိူဝ်ႉ
lend	ၵူႈ
length	တၢင်းယၢဝ်း
less	ဢေႇ
lesson	ၶၢဝ်းသွၼ်လိၵ်ႈ
lesson	တွၼ်ႊသွၼ်
let	ဢွၼ်ၵၼ်
letter	လိၵ်ႈထွင်
letter	တူဝ်မႄႈလိၵ်ႈ
lettuce	ၽၵ်းသလၢပ်ႈ
level	ၸၼ်ႉ
leverage	ၺိပ်ၶၢႆႉ
liability	မီးဝႆႉပုၼ်ႈၽွၼ်း
library	ႁူင်းလၢႆး
lick	လေး
lie	ပႅတ်ႉလႅၼ်
lie	လွင်ႈလႅၼ်
lies	ပႅတ်ႉလႅၼ်
life	ၸၢတ်ႈပၢၼ်
lift	ၸၢၵ်ႈတိဝ်ႈၶိုၼ်ႈ
lift	ယွင်ႈ
light	သၢႆလႅင်း
light	မဝ်ႊ
light	ၸပ်းၾႆး
lightning	ၾႃႉမႅပ်ႈ
like	လႆႈၸႂ်
likely	မိူၼ်ႁၢင်ႊ
likewise	မိူၼ်ၼႆ
line	သၢႆ
Lingala	ၶိူဝ်းလိင်ႇၵႃႇလႃႇ
link	ၵဵဝ်ႇၵွင်ႉ
lion	သၢင်ႇသီႈ
liquid	ၼမ်ႉလႅဝ်ႊ
list	သႅၼ်ႈ
listen	ထွမ်ႇ
listening	ထွမ်ႇယူႇ
literally	သိုဝ်ႈသိုဝ်ႈ
literature	ပၢႆးလိၵ်ႈလူင်
litter	ဢိတ်းဢွတ်း
little	ဢၼ်ဢေႇ
live	ယူႇသဝ်း
live	သၢႆၸႂ်
liver	တပ်း
lives	ယူႇ
living	ယူႇသဝ်း
living room	ႁွင်ႈႁပ်ႉၶႅၵ်ႇ
lizard	ဢၢင်ႇၶၢင်
load	ၶွၼ်ႇ
loaf	ၶဝ်ႈမုၼ်းမူင်ႊ
loan	ငိုၼ်းၶီႈ
local	ပိုၼ်ႉတီႈ
location	တီႈယူႇ
lock	ၵၢၵ်ႇသေႃး
lockdown	ဢိုတ်းတၢင်းၶဝ်ႈဢွၵ်ႇ
log	တုမ်မႆႉ
lol	ႁႁႁ
lonely	ၵေႃႉလဵဝ်
long	ယၢဝ်း
long time no see	ဢမ်ႇလႆႈႁၼ်ၵၼ် ႁိုင်ယဝ်ႉ
look	တူၺ်း
loop	တူင်ႇ
loose	လူမ်
lord	ၾႃႉၸဝ်ႈ
lose	သုမ်း
loss	သုမ်း
lost	သုမ်း
lot	ၼမ်
loud	သဵင်ႁႅင်း
lounge	ၶၢၼ်ႉဢိူၼ်လိူၼ်
love	တၢင်းႁၵ်ႉ
love you	ႁၵ်ႉသူ
lovely	လီႁၵ်ႉ
low	တီႈတႂ်ႈ
lower	တႅမ်ႇတိူဝ်း
loyal	ၶုၼ်
loyalty	ဢၼ်မီးသတ်ႉၸႃႇ
luck	သုၼ်ႇ
lucky	သုၼ်ႇလီ
Luganda	ၶိူဝ်းလူႇၵၢတ်ႇတႃႇ
luggage	တိူၵ်ႈၶူဝ်း
lump	ပဵၼ်ၵွၼ်ႈ
lunch	ၶဝ်ႈၼႂ်
lungs	ပွတ်ႇ
luxury	ၸေးၸိမ်ႇ
lying	ပႅတ်ႉလႅၼ်
machine	ၸၢၵ်ႈ
mad	ယွင်ႇ
madam	မႄႈသၢဝ်
made	ႁဵတ်းဝႆႉ
magazine	ပပ်ႉမႅၵ်ႉၵၸိၼ်း
magnificent	ၶိုၵ်ႉၶႅမ်ႉ
maid	လုၵ်ႈၸၢင်ႈ
main	ပိူင်ယႂ်ႇ
maintain	ထိင်းသိမ်း
maintenance	လူလွမ်ပႂ်ႉပႃး
Maithili	ၶိူဝ်းမၢႆႇတီႇလီႇ
major	ဢၼ်လမ်ႇလွင်ႈ
major	ၵူၼ်းႁဵၼ်းပၢႆးပိူင်လူင်
majority	ဢၼ်ၶိုၵ်ႉတွၼ်း
make	ႁဵတ်းသၢင်ႈ
make up	ႁၢင်ႈၶိူင်ႈ
male	တူဝ်ၽူႈ
mall	ၵၢတ်ႇလူင်
man	ၽူႈၸၢႆး
manage	ၸတ်းပွင်
management	ၸတ်းပွင်
manager	ၽူႈပွင်ၵၢၼ်
mandatory	ၶေႃႈပူင်
manifest	ၸႅင်ႈလႅင်းလီ
manipulate	ၵမ်ၸိူၵ်ႈဝႆႉလႆႈလီ
manner	ၽိင်ႈယၢမ်ႈ
manual	လၢႆးမိုဝ်း
many	လၢႆလၢႆဢၼ်
many many happy returns of the day	ဝၼ်းသိူဝ်းၸႂ်တေႉတေႉဝႃႈဝႃႈ
march	ပၢင်ၶႄႉၶဵင်ႇ
margin	မႆႁွၺ်းၶွၵ်း
market	ၵၢတ်ႇ
marriage	ႁဵတ်းၶႅၵ်ႇ
married	သွၼ်ႉမိင်ႈ
mask	ၵၢပ်ႇၼႃႈ
mass	တၢင်းၼၵ်း
massive	ၼၵ်းႁႅင်း
master	သြႃႇလူင်
match	ပၢင်ၶႄႉသဵင်ႇ
match	ၵိုၵ်းသဵင်ႇ
mate	ၽူႈၸွၺ်ႈ
mate	ၵေႃႉၵူႈ
material	ၶူဝ်းၸႂ်ႉ
math	ပၢႆးၼပ်ႉ
matter	လွင်ႈတၢင်း
matter	လမ်ႇလွင်ႈလၢၵ်ႇလၢႆး
maturity	ၵေႃႉယႂ်ႇယဝ်ႉ
may	တႃႉႁဵတ်းၼႆ
may	ထုၵ်ႇလီ
maybe	ယူဝ်ၶေး
me	ႁဝ်း
me too	မိူၼ်ၵၼ်
meal	တႃႇၶဝ်ႈ
mean	ပွင်ႇဝႃႈ
meaning	တီႈပွင်ႇ
means	ပွင်ႇဝႃႈ
meant	ပွင်ႇဝႃႈ
meanwhile	ၼႂ်းဝူင်ႈဝၢင်ႈ
measure	တႅၵ်ႈ
measures	တႅၵ်ႈ
meat	ၼိူဝ်ႉ
medical	ယႃႈယႃ
medicine	ယႃႈယႃ
meditation	ၵႅင်ႉၵမ်ႊတြႃး
medium	ပၢၼ်ၵၢင်
meet	ႁူပ်ႉထူပ်း
meeting	ပၢင်ၵုမ်
Meiteilon	ၶိူဝ်းမေႇထေးလွၼ်ႇ
melt	ၶႃႇ
memories	တီႈမၢႆတွင်း
memory	မၢႆတွင်း
mental	ၵဵဝ်ႇတင်းၸႂ်
mention	ၸီႉၸူး
mentioned	ႁွင်ႉၸူး
mentor	ၽူႈထႅမ်တူၺ်း
merchant	ၵူၼ်းၵႃႉ
mercy	ဢဵတ်းလူ
merely	တေႃႉတႄႉ
merry christmas	ႁူမ်ၸူမ်း ပၢင်ပွၺ်း ၶရိတ်ႉ
mess	ႁၢႆႉၸႃႉ
message	လိၵ်ႈပွတ်း
messy	သုၵ်ႉသၢၵ်ႈ
metal	ၶူဝ်းႁႄႊ
method	လွၵ်းလၢႆး
mice	ၼူ
middle	ၼႂ်းၵၢင်
midnight	ၶိုၼ်းတဵင်ႈ
might	ထုၵ်ႇလီ
mild	ဢူၼ်ႈ
milestone	လၵ်းမၢႆ တဵမ်လၵ်း
military	တပ်ႉသိုၵ်း
milk	ၼမ်ႉၼူမ်း
million	ၼိူင်ႈလၢၼ်ႉ
mind	ၸႂ်
mindset	ပၢႆးၸႂ်ႊ
mine	ႁင်းၵဝ်
mine	မၢၵ်ႇ
mingle	ၶူၼ်းလေႃး
minor	လဵၵ်ႉ
minute	မဵတ်ႉ
minutes	မဵတ်ႉ
miracle	ပိူင်ပဵၼ်ဢၢမ်းဢေႃး
mirror	မၢၼ်ႇၸမ်ႈ
miscellaneous	ၵူႊလွင်ႈလွင်ႈ
mischievous	ယႃႉၽွၼ်း
miserable	ၸႂ်တုၵ်ႉ
misery	ၸႂ်တုၵ်ႉတေႉ
miss	ၸႂ်ထိုင်
miss	တူၵ်းႁၢႆ
miss	ၶုၼ်ယိင်း
miss you	ၸႂ်ထိုင်သူ
missing	ႁၢႆဝႆႉ
mission	တႃႈယိူင်း
mist	သႅင်ၶဝ်ႉ
mistake	တၢင်းၽိတ်း
Mizo	ၶိူဝ်းမီႇသူဝ်ႇ
mobile	မိုဝ်းထိုဝ်
mock	မုၼ်ႈၸဝ်ႈ
model	ပဵၼ်လၵ်းၸဵင်
moderate	ထိင်းပၼ်
modern	ၵၢပ်ႈမႂ်ႇ
modest	မီးတၢၼ်ႇတၢၼ်ႇ
moist	ယိုၵ်းယမ်း
moisture	ယိုၵ်း
mold	တႅမ်ႈပိူင်ႁၢင်ႊ
mold	ထၢင်ႇ
mole	ၾႆ
mom	မႄႈမွၵ်ႇယႃႈ
moment	ၸူဝ်ႊၵႅပ်ႉ
monday	ဝၼ်းၸၼ်
money	ငိုၼ်း
monitor	ႁူဝ်ၼႃႈလုၵ်ႈႁဵၼ်း
monkey	လိင်း
month	သူပ်း
mood	ၼမ်ႉၸႂ်
moody	ၸႂ်လႅၵ်ႈငၢႆႈ
moon	လိူၼ်
moral	တၢင်းၵႅင်ႉၵမ်ႊ
more	ၼမ်လိူဝ်သေ
moreover	ထႅင်ႈတၢင်းၼိူင်ႈ
morning	ႁူဝ်ၼႂ်
mortgage	လိၵ်ႈၵမ်ႉ
most	ၵမ်ႈၼမ်
mostly	ၵမ်ႉၼမ်
mother	မႄႈမႄႈ
motion	ၶၢႆႉတူင်ႉ
motivation	ႁႅင်းၸႂ်
mountain	ႁၢဝ်းလွၺ်
mouse	ၼူ
mouth	သူပ်း
move	ၶၢႆႉ
movement	ၶၢႆႉတူင်ႉ
movie	ၸိူင်း
mrs	မႄႈသၢဝ်
much	ၼမ်
mud	ဢုင်
mug	ၵွၵ်းလူင်
muscle	ၾူတ်ႇဢဵၼ်မႃႇ
museum	ႁွင်ႈၼေၶူဝ်းၶွင်ၵဝ်ႇ
mushroom	ႁဵပ်း
music	ၽဵင်း
must	လူဝ်ႇ
must	တိုၼ်း
mute	ဢိုတ်းသဵင်
mutual	တင်းသွင်ပႃႈသွင်ၽၢႆႇ
my	ၶွင်ၵဝ်
My dear	ႁၵ်ႉၵဝ်ဢိူၺ်း
my friend	တႆးၵေႃႉၵဝ်
My hovercraft is full of eels	ၼႂ်းႁိူဝ်းႁဝ်း တဵမ်ဝႆႉ ပႃႇယဵၼ်ႇဢိူဝ်ႈ
my love	တၢင်းႁၵ်ႉႁဝ်း
my name is	ၸိုဝ်ႈႁဝ်းႁွင်ႉ
my pleasure	ပဵၼ်ၼမ်ႉၸႂ်ၵဝ်ယဝ်ႉ
myself	တူဝ်ၵဝ်ၵွၺ်း
mysterious	မီးလွင်ႈသိူင်ႇလပ်ႉ
mystery	လပ်းသိူင်ႇဝႆႉ
myth	ဢသိူၵ်ႈ
nail	မၢတ်ႇလဵၵ်ႉၼႃး
naive	ႁၢမ်းတူဝ်ထူပ်း
name	ၸိုဝ်ႈ
narrative	ၸိူင်း
narrow	ၵႅပ်ႈ
nasty	လိူင်း
national	ၸၢဝ်းၶိူဝ်း
nationality	ၸၢဝ်းၶိူဝ်း
native	ၵူၼ်းၵိုၵ်းမိူင်း
natural	ၾိင်ႈတိုၼ်း
nature	ၾိင်ႈတိုၼ်း
nausea	ဢိုတ်ႇဢၢတ်ႇ
near	ၸမ်
nearby	ၸမ်ၸမ်
nearly	ၸမ်ၸမ်
neat	သႅၼ်ႈသႂ်
necessary	ဢၼ်လူဝ်ႇမီးလူဝ်ႇပဵၼ်
neck	ၶေႃး
necklace	သၢႆၶေႃး
need	တၢင်းလူဝ်ႇ
negative	လွင်ႈၸႃႉ
neglect	ဝႆႉမဝ်မၢင်
negotiate	ၺီႉလႆႈ
neighbor	ႁိမ်းႁိူၼ်း
neighborhood	ႁိမ်းႁိူၼ်း
neither	ဢမ်ႇၸႂ်ႈသေဢၼ်
nephew	လၢၼ်ယိင်း
nerd	ၸလိူဝ်ႈၸလႃႈ
nervous	ၸႂ်သၼ်ႇ
nest	ႁင်းၼူၵ်ႉ
net	ယႅင်ႉ
network	ၼႅင်ႊ
neutral	ၵူၼ်းၶဵဝ်
never	ဢမ်ႇမီးသေပွၵ်ႈ
never give up	ဢမ်ႇတွၼ်ႉယွၼ်းသုမ်း
never mind	ယႃႇဝႆႉၸႂ်
nevermind	ဢမ်ႇပဵၼ်သင်
nevertheless	ၵေႃႈလၢႆး
new	မႂ်ႇ
news	ၶၢဝ်ႇ
next	ထႅင်ႈဢၼ်ၼိူင်ႈ
next to	ႁိမ်းၼႆႉ
nice	ၶႅမ်ႉ
nice to meet you	ငိၼ်းၸူမ်းလႆႈႁူပ်ႉထူပ်းသူၶႃႈ
niece	လၢၼ်
night	ၵၢင်ၶမ်ႈ
nightmare	ၶိူဝ်ႈၵိၼ်
nine	ၵဝ်ႈ
nineteen	သိပ်းၵဝ်ႈ
ninety	ၵဝ်ႈသိပ်း
No	ဢမ်ႇ
no problem	ဢမ်ႇပဵၼ်သင်
no way	ဢမ်ႇမီးတၢင်း
nobody	ဢမ်ႇမီးၽႂ်
noise	မေႃး
noisy	မေႃးပၼ်း
none	ဢမ်ႇမီးသင်
noon	ဝၼ်းတဵင်ႈ
nope	ဢမ်ႇၸႂ်ႈ
nor	ၼႆႉၵေႃႈဢမ်ႇ
normal	တၢၼ်ႇတၢၼ်ႇ
north	ၽၢႆႇႁွင်ႇ
nose	ၶူႈလင်ႊ
nostalgic	ၸႂ်ထိုင်ဝၼ်းလင်
not	ဢမ်ႇ
not at all	ဢမ်ႇၸႂ်ႈတင်းမူတ်း
not bad	ဢမ်ႇႁၢင်ႊႁၢႆႉ
Not now	ဢမ်ႇၸႂ်ႈတေႃႈလဵဝ်
not yet	ဢမ်ႇပႆႇ
note	မၢႆတွင်း
noted	တီႈတွင်း
nothing	ဢမ်ႇမီးသင်
notice	ၽၢင်ႉမႅၼ်ႈ
noticed	မၢႆဝႆႉ
noun	ႁိၵ်ႈ
nouns	ႁိၵ်ႈ
novel	သၢင်း
november	လိူၼ်သိပ်းဢဵတ်း
now	မိူဝ်ႈလဵဝ်
nowadays	ၵၢပ်ႈပၢၼ်မိူဝ်ႈလဵဝ်
nuisance	ၸႂ်သုၵ်ႉသၢၵ်ႉ
null	ဢမ်ႇၶဝ်ႈၶႂၢင်ႈတြႃး
numb	ၼဵတ်း
number	တူဝ်ၼပ်ႉ
nurse	မေႃယႃဢွၼ်ႇ
nut	မဵတ်ႉထူဝ်ႇ
nutmeg	မၢၵ်ႇတွၺ်ႇ
nutrition	ထၢတ်ႈလဵင်ႉၸႂ်
