a little	قليل
temple	معبد
temporary	وقتي
ten	عشرة
ten thousand	عشرتالاف
tenant	ساكن
tenant	مستأجر
tend	اتجه ل
tendency	نزعة
tender	لطيف
tender	مناقصة
tense	توتر
tension	توتر
tension	كركبة
tent	خيمة
tentative	مؤقت
tentative	تجريبي
term	شرط
term	بند
terms	شروط
terrible	رهيب
terrible	فظيع
terrific	رائع
territory	منطقة
territory	أرض
test	اختبار
text	نَص
than	من
thank	شكر
thank you	ممنونك
thank you	مشكور
thank you	شكرًا لكَ
Thank you for your patience while we investigate shipment	شكرًا لصبرك ريثما نتحقّق من الشّحنة
Thank you for your patience while we investigate shipment	شكراً لأنك طولت بالك علينا ونحنا عم نتحقق من الشحنة
thank you so much	شكراً كتير
thank you very much	شكرًا جزيلًا
thank you very much	شكراً كتير
thank you very much	مشكور
thanks	تشكّرات
thanks	شكرًا
thanks	ممنونك
Thanks for using our app	شكراً لأنك استخدمت الطبيق تبعنا
that	هذا
that	هَيْدَا
that is	هادا
that's good	كتير منيح
that's good	شي كويس
the	أل
theft	سرقة
their	لهم
their	إلهم
them	هم
theme	موضوع
themselves	نفسن
then	ثمّ
then	بَعْدِين
theory	نظرية
there	هناكَ
there	هُونِيك
there are	هونيك
there is	في
therefore	لذلك
therefore	منشان هيك
these	هؤلاء
these	هدول
they	هنّي
they	هم
they are	هنّي
thick	سميك
thief	حرامي
thigh	فخد
thin	رفيع
thing	شي
things	شغلات
things	غراض
think	يفكّر
think	بيفكر
third	تالت
thirsty	عطشان
thirteen	تلاتعش
thirty	تلاتين
this	هَيدَا
this	هَذَا
this is	هادا
this is	هذا
thorough	شامل
thorough	عميق
thoroughly	كلّو
thoroughly	بكلّ معنى الكلمة
those	هدول
though	بالرغم من
though	رغم إنّو
thought	فكَّرتُ
thought	ظنَّيت
thought	اعتقدت
thoughtful	وقور
thoughts	أفكار
thousand	ألف
thread	خيط
threat	تهديد
threaten	هدد
three	تلاتة
threshold	عتبة الباب
thrilled	بسعادة كبيرة
thrive	ينجح
thrive	ينما
throat	بلعوم
through	عبرَ
through	من خلال
through	جُوّا
throughout	طوال
throw	رمى
thumb	باهم
thunder	رعد
Thursday	الخميس
thus	هكذا
thus	وهيك
tick	قرادة
tide	المد
tidy	مرتّب
tie	كرافيت
tie	ربط
tiger	نمر
tight	مشدود
Tigrinya	لغة التيغرينيا
time	وقت
timid	تشتوش
timid	خجول
tiny	حجم صغير
tiny	صغير
tip	نصيحة
tips	نصائح
tire	دولاب
tired	تعبان
tired	مرهق
tissue	محرمة
title	عنوان
title	لقب
to	لِ
to	لَ
to be	ليصير
toast	خبز محمص
today	اليوم
toddler	طفل صغير
toes	أصابع الرجل
together	مع بعض
toilet	تواليت
told	خبّر
tolerance	تسامح
tolerate	يسامح
tomato	بندورة
tomorrow	بكرا
tomorrow	غدًا
tongue	لسان
tonight	الليلة
too	كتير
too	أيضًا
took	أخد
tool	أداة
tools	أدوات
tooth	سن
top	أعلى
topic	موضوع
torn	مهتري
torn	امَّزق
torture	بيعذب
total	المجموع
touch	يلمس
tough	صلب
tough	قاسي
tour	رحلة
toward	نحو
towards	نحو
towel	منشفة
town	بلدة
toxic	بيسمم
trace	يتبع أثر
track	يتبع أثر
track	طريق
trade	تجارة
tradition	عادة
tradition	تقليد
traditional	تقليدي
traffic	حركة السير
trail	أثر
trail	طريق
train	قطار
train	ترين
training	تدريب
trait	تقسيمات الوش
traits	تقاسيم الوش
transfer	تحويل
transfer	يحوّل
transition	انتقال
translate	ترجَم
transparent	شفّاف
transport	ينقل
transportation	مواصلات
trap	مصيدة
trap	فخ
trash	زبالة
trauma	رضة
travel	مسافر
tray	صينية
treasure	كنز
treat	يعامل
treat	بيعامل
treatment	معاملة
tree	شجرة
tremendous	جبّار
tremendous	ضخم
trend	موضة
trend	دارج
trial	محاكمة
trial	اختبار
trick	حيلة
tried	حاول
trigger	مشغّل
trim	تقليم
trip	رحلة
trip	مشوار
trip	سيران
trouble	مشكلة
trouble	مأزق
trousers	بنطلون
truck	شاحنة
true	صحيح
trunk	صندوق السيارة
trunk	جذع
trust	أمل
trust	ثقة
truth	الحقيقة
try	جرب
Tsonga	لغة التسونجا
tube	بربيج
Tuesday	الثلاثاء
tuition	محاضرة
tuition	تدريس
turkey	حبش
turkey	ديك رومى
turmeric	كُركُم
turn	دور
turn	بيتحول
turtle	سلحفة
tutor	استاذ خصوصي
twelve	اتنعش
twenty	عشرين
twenty-one	واحد وعشرين
Twi	لغة التوي
twice	مرتين
twist	لوي
two	اتنين
type	نوع
typical	عادي
ugly	بشع
ultimate	نهائي
umbrella	شمسية
unable	ما بيقدر
uncle	عم
uncle	خال
unconscious	مو واعي
under	تحت
underneath	تحت
underrated	بخسو قيمتو
understand	يفهم
understand	بيفهم
understood	مفهوم
unfortunately	للأسف
uniform	زي مُوحد
unique	ما في متلو
unique	ما في منو
unique	مميز
unique	فريد
unit	وحدة
university	جامعة
unknown	مو معروف
unknown	مجهول
unless	إلا إذا
until	لحتى
unusual	غريب
unusual	مو عادي
up	أكتر
up	أعلى
up to you	الأمر بيرجعلك
update	تحديث
upgrade	يرقّي
upon	لما
upset	حزين
upset	زعلان
urban	متمدن
urge	يتخانق
urgent	مستعجل
urgent	طارىء
us	نحنا
us	نحن
use	بيستعمل
use	يستعمل
use	يستخدم
use	بيستغل
used	مستعمل
useful	مفيد
useless	ما منو رجا
useless	ما في فايدة منو
usual	مألوف
usual	اعتيادي
usually	عادةً
usually	بالعادة
utility	جدوى
utility	منفعة
vacation	عطلة
vacation	إجازة
vaccination	تلقيح
vaccine	مصل
vacuum	مكنسة كهربا
vague	مو مفهوم
vague	غامض
valid	صالح
valley	وادي
valuable	غالي
value	قيمة
variety	أشكال وألوان
variety	متنوع
various	كتير
various	متنوع
vary	بيتنوع
vase	مزهرية
vast	واسع
vegetable	خضرا
vegetables	خضرا
vehicle	شاحنة
vehicle	سيارة
vendor	بياع
vendor	موظف
venom	حقد
venom	غلّ
venture	يغامر
venue	مسرح الأحداث
venue	مكان
verify	اتأكد من
versatile	استعمالاتو كتيرة
versatile	متعدد الجوانب
version	إصدار
vertical	عمودي
very	كتير
very	كثيرًا
very good	جيد جداً
very good	كتير منيح
vessel	وعا
via	عن طريق
via	بواسطة
vibe	هز
vibes	ذبذبات
vicious	خبيث
victim	ضحية
video	فيديو
view	منظر
village	ضيعة
villain	ندل
vinegar	خل
vintage	خمر
violence	عنف
violent	عنيف
viral	فيروسي
virgin	بنت
virgin	عذراء
virtual	افتراضي
virtue	فعة نفس
vision	رؤية
visit	يزور
visual	مرئي
vital	نشيط
vital	حِرِك
vivid	فاقع
vivid	واضح
vocabulary	كلمات
vocabulary	مفردات
voice	صوت
void	فاضي
void	فارغ
volume	كمية
volunteer	متطوع
vomit	الاستفراغ
vulnerable	معرّض ل
wage	أجرة
wages	أجور
waist	خصر
waist	خاصرة
wait	استنى
wait	انتظر
waiter	نادل
waiting	ناطر
waiting	مستني
wake	فاق
wake up	يفيق
walk	بيمشي
walking	مشِي
wall	حيط
wallet	محفظة
wander	تجول
wanna	بدّي
wanna	بدّو
want	يريد
want	بدو
wanted	مطلوب
war	حرب
wardrobe	خزانة التياب
warehouse	مستودع
warm	حنون
warm	دافئ
warm	دافي
warn	تحذير
warning	تحذير
warning	انذار
warrior	محارب
was	كان
wash	غسيل
waste	بيهدر
waste	يهدر
waste	بيضيّع
watch	يراقب
watch	بيشوف
water	مياه
water	مي
watermelon	بطيخ
watermelon	جبس
wave	موجة
way	طريقة
way	طريق
we	نَحْنُ
we	نِحْنَا
we are	نحنا
we can	بنقدر
weak	ضعيف
weakness	ضعف
wealth	ثروة
wealthy	غني
wealthy	مقتدر
wear	يرتدي
wear	لابس
wearing	يلبس
weather	طقس
wedding	عرس
Wednesday	الأربعاء
weed	أعشاب ضارة
weed	حشيش
week	أسبوع
weekend	نهاية الأسبوع
weight	تقل
weight	وزن
weird	مو طبيعي
weird	غريب
welcome	تفضّل
welcome	أهلا وسهلا
welcome	شرّفت
welfare	عيشة هنية
Well	جيّد
Well	منيح
Well	كويِّس
well done	برافو عليك
went	راح
went	طلع
went	ذهب
were	كانوا
west	غرب
wet	رطب
wet	مرطّب
whale	حوت
what	شو
what	ماذا
what about you	وانت شو
what about you	شو منشانك
what are you doing	شو عم تعمل
what are you doing	ماذا تفعل
what are you doing	تعمل إيه
what are you doing now	ماذا تفعلُ الآنَ
what are you doing now	شو عم تعمل هَلّق
what are you doing right now	شو عم تعمل هلق
what do you do	شو عم تساوي
what do you do	شو عم تعمل
what do you do for a living	شو بتشتغل
what do you do for a living	من وين بتسترزق
what do you mean	شو يعني
what do you mean	ماذا تقصد
what do you mean	شو قصدك
what do you want	شو بدك
what happened	شو اللي صار
what is	شو هوي
what is	ما هو
what is this	شو هاد
what is your job	شو بتشتغل
what is your name	ما اسمك
what is your name	شو اسمك
what's up	شو آخر الأخبار
what's your name	شو اسمك
whatever	أيًّا كان
whatever	مهما
whatever	مو مشكلة
wheat	قمح
wheel	دولاب
when	لمَّا
when	حينَ
whenever	وقتا
whenever	وقت لما
where	أينَ
where	وَيْن
where are you	وينك
where are you	أين أنت
where are you	انت وين
where are you from	من أينَ أنتَ
where are you from	إِنتَ من وين
where are you from	من أي بلد جايي
where are you now	انت وين هلق
where are you now	وينك هلق
where do you live	وين عايش
where is	وين
whereas	بينما
whether	في حال
whether	إن كان
which	أيَا
which	أَيْ
while	بالوقت اللي
while	بينما
whisper	همسة
whistle	صفّارة
white	أبيض
who	مِين
who	مَن
who are you	مين انت
who are you	انت مين
who is	مين
who is this	مين هاد
whole	كل
whom	مَن
whose	لمين
why	لماذا
why	لي
why	ليش
why not	ليش لاء
wicked	خبيث
wicked	ملعون
wide	واسع
wide	عريض
widow	أرملة
width	عرض
wife	زوجة
wild	متوحش
wild	برّي
will	سَوْفَ
will	رَحْ
will	إرادَة
willing	راغب
willing	حابب
win	بيربح
wind	هوا
window	شباك
windy	عاصف
windy	هوا
wine	خمر
wine	مشروب
winter	الشتى
winter	شتوية
wipe	يمسح
wire	سلك
wisdom	رزانة
wisdom	رجاحة عقل
wisdom	حكمة
wise	حكيم
wise	فهيم
wish	بيتمنى
wish you all the best	بتمنالك الأفضل
witch	ساحرة
with	معَ
with	مَعْ
withdraw	انسحاب
withdrawal	انسحاب
within	جوا
within	داخل
without	بدون
without	بلا
witness	شاهد
witty	حربوق
wolf	ديب
woman	مرا
women	النسوان
won	ربح
won't	ما رح
wonder	بيتساءل
wonderful	بيجنن
wonderful	رائع
wood	خشب
wood	غابة
wool	صوف
word	كلمة
words	كلمات
work	شغل
work	عمل
work out	اكتشف
working	شغل
world	العالم
worm	دودة
worn	مهتري
worried	قلقان
worry	قلقان
worse	أسوأ
worship	يسجد
worship	عبادة
worst	أسوأ شي
worth	بيستاهل
worth	يستحقّ
worth it	بيستاهل تعبو
worthy	بيستاهل
would	تمنّى
would	أرادَ
wound	جرح
Wow	واو
wrap	لفّ
wrath	غيظ
wrist	رسغ
write	يدوّن
write	بيكتب
write	يكتب
Write here	اكتب هون
writing	كتابة
written	مكتوب
wrong	مو صحيح
wrong	خطأ
wrote	كتب
yard	باحة البيت
yard	أرض الديار
yawn	متاوبة
Yeah	نعم
Yeah	أيْوَه
year	سنة
years	سنين
yeast	خميرة
yell	رفع صوتو
yell	صرّخ
yellow	أصفر
Yes	بلى
Yes	نعم
Yes	إي
yes baby	اي حبيبي
yes dear	أيوا حبيبي
yes dear	اي حبيبي
yes honey	اي حبيبي
yes my love	امبلا حبيبي
yes my love	اي حبيبي
yes of course	طبعاً أكيد
yesterday	أمس
yesterday	مبارحة
yesterday	مبارح
yet	لسى
yet	بعد
yield	مدخول
you	إنتَ
you	أنتَ
you are	انت
you are beautiful	أنت حلو
you are so beautiful	انت حلو كتير
you are welcome	على الرحب والسعة
you are welcome	أهلا وسهلا فيك
you are welcome	شرّفت
you can	بتقدر
You know	بتعرف
you too	انت كمان
you're welcome	أهلا وسهلا فيك
you're welcome	بتشرّف
young	صغير
young	شب
your	لك
your welcome	أهلا وسهلا فيك
yourself	انت نفسك
youth	الشباب
you’re welcome	أهلا وسهلا
you’re welcome	شرّفت
yummy	يم يم
zero	صفر
