trocha	a little
Dziynkujymy za używanie naszyj aplikacyje	Thanks for using our app
tamto	that
tamtyn	that
to je	that is
to dobrze	that's good
raub	theft
jejich	their
ôni	them
tymat	theme
sie	themselves
jejich	themselves
sobie	themselves
wtynczos	then
tōż	then
potym	then
teoryjo	theory
tam	there
tam sōm	there are
tam je	there is
je	there is
beztōż	therefore
bez to	therefore
te	these
ôni	they
ôni sōm	they are
ruby	thick
raubiyrz	thief
ud	thigh
ciynki	thin
rzecz	thing
rzeczy	things
myśleć	think
trzeci	third
spragniōny	thirsty
trzinoście	thirteen
trzidzieści	thirty
tyn	this
to	this
to je	this is
akuratny	thorough
grōntownie	thoroughly
tamte	those
ale	though
choć	though
myśl	thought
ôbmyślany	thoughtful
myśli	thoughts
tysiōnc	thousand
nitka	thread
grozić	threat
pogrōżka	threat
zagrożynie	threat
zagrozić	threaten
trzi	three
prōg	threshold
zachwycōny	thrilled
prosperować	thrive
garło	throat
bez	through
blank	throughout
ciepnōńć	throw
ciepniyńcie	throw
krzciuk	thumb
grōm	thunder
sztwortek	Thursday
tōż	thus
klyszcz	tick
wela	tide
przipływ	tide
ôkludny	tidy
snożny	tidy
wiōnzać	tie
binder	tie
rymis	tie
tiger	tiger
ciasny	tight
Tigrinya	Tigrinya
czas	time
lynkawy	timid
malućki	tiny
dorada	tip
tringeld	tip
szpica	tip
dorady	tips
ôpōna	tire
zmynczōny	tired
tkanka	tissue
taszyntuch	tissue
tytuł	title
do	to
być	to be
toast	toast
tost	toast
dzisiej	today
dzieciōntko	toddler
palce u stōp	toes
społym	together
razym	together
tōaleta	toilet
pedzioł	told
tolerancyjo	tolerance
tolerować	tolerate
tōmata	tomato
jutro	tomorrow
jynzyk	tongue
dzisiej na wieczōr	tonight
tyż	too
wziōn	took
noczynie	tool
noczynia	tools
norzyndzia	tools
zōmb	tooth
szpica	top
wiyrchni	top
blot	top
tymat	topic
rozdrzity	torn
tortura	torture
torturować	torture
cołkowito	total
tykać	touch
ciynżki	tough
twardy	tough
ausflug	tour
ku	toward
ku	towards
ryncznik	towel
miasto	town
toksyczny	toxic
ślod	trace
śledzić	trace
glajza	track
ślod	track
śledzić	track
handel	trade
tradycyjo	tradition
tradycyjny	traditional
ruch drōgowy	traffic
chodnik	trail
szlak	trail
trynować	train
cug	train
tryning	training
szkolynie	training
cycha	trait
cychy	traits
przenosić	transfer
przelyw	transfer
pōmiana	transition
przekłodać	translate
przejzdrzisty	transparent
transport	transport
transport	transportation
szłapka	trap
uwiōnznōńć	trap
uwiyńzić	trap
abfale	trash
hasie	trash
uraz	trauma
rajzować	travel
rajza	travel
tablet	tray
skorb	treasure
traktować	treat
lyczynie	treatment
strōm	tree
ôgrōmny	tremendous
trynd	trend
tyndyncyjo	trend
prōba	trial
termin	trial
knif	trick
kōnsztik	trick
wyprōbowany	tried
kokotek	trigger
wywołować	trigger
przicinać	trim
ausflug	trip
potychać sie	trip
turbacyjo	trouble
starōnek	trouble
galoty	trousers
lastauto	truck
prowdziwy	TRUE
richtich	TRUE
ôdziymek	trunk
kofer	trunk
ufać	trust
zaufanie	trust
prowda	truth
sprōbować	try
prōbować	try
prōba	try
Tsonga	Tsonga
ruła	tube
wtorek	Tuesday
czesne	tuition
hyndyk	turkey
kurkuma	turmeric
ôbrōt	turn
ôbrocać sie	turn
winkel	turn
żōłw	turtle
korepetytor	tutor
dwanoście	twelve
dwajścia	twenty
dwadziścia jedyn	twenty-one
Twi	Twi
dwa razy	twice
skryncać	twist
dwa	two
zorta	type
typowy	typical
żadny	ugly
ôstateczny	ultimate
paryzol	umbrella
niyzdolno	unable
ujek	uncle
niyświadōmy	unconscious
pod	under
pod	underneath
niydoceniany	underrated
rozumieć	understand
zrozumiany	understood
niystety	unfortunately
mōndur	uniform
niyôbyczajny	unique
niyzwykły	unique
wyjōntkowy	unique
jednotka	unit
uniwerzytet	university
niyznōmy	unknown
chyba że	unless
jeźli	unless
aże	until
aż	until
niyôbyczajny	unusual
w gōra	up
zależy ôd ciebie	up to you
aktualizować	update
aktualizacyjo	update
aktualizacyjo	upgrade
na	upon
pogorszōny	upset
zgorszōny	upset
znerwowany	upset
miastowy	urban
pragniynie	urge
nalygać	urge
pilny	urgent
my	us
użycie	use
używany	used
przidajny	useful
darymny	useless
ajnfachowy	usual
zaôbycz	usually
zwykle	usually
użytek	utility
feryje	vacation
szczypiōnka	vaccination
szczypiōnka	vaccine
prōżnia	vacuum
niyklarowny	vague
ważny	valid
dolina	valley
cynny	valuable
wert	value
wartość	value
rozmajtość	variety
roztōmajty	various
zmiyniać	vary
rōżnić sie	vary
blōmwaza	vase
ôgrōmny	vast
zielynina	vegetable
zielyniny	vegetables
wozidło	vehicle
przedowocz	vendor
jod	venom
powziyńcie	venture
lokal	venue
weryfikować	verify
zweryfikować	verify
wszechstrōnny	versatile
uniwersalny	versatile
wersyjo	version
piōnowy	vertical
fest	very
barzo dobry	very good
ôkrynt	vessel
noczynie	vessel
bez	via
wibracyjo	vibe
launa	vibe
launa	vibes
fałeszny	vicious
ôszydny	vicious
ôfiara	victim
wideo	video
poglōnd widok	view
wieś	village
rojber	villain
ôcet	vinegar
rocznik	vintage
czas	vintage
klasyczny	vintage
gwołt	violence
brutalny	violent
wirusowy	viral
dziewica	virgin
wirtualny	virtual
cnota	virtue
wzrok	vision
wizyjo	vision
nawiydzać	visit
wizualny	visual
niyzbyndny	vital
żywy	vivid
słownictwo	vocabulary
głos	voice
prōznia	void
ôbjyntość	volume
tōm	volume
wolōntariusz	volunteer
rzigać	vomit
narażōny	vulnerable
geltak	wage
geltaki	wages
talijo	waist
czekać	wait
ôbsugować	wait
kelner	waiter
czekanie	waiting
budzić	wake
budzić sie	wake up
iś	walk
chodzić	walk
piechciorz	walking
ściana	wall
portmanyj	wallet
wandrować	wander
chcieć	wanna
chcieć	want
poszukowany	wanted
wojna	war
szrank	wardrobe
garderoba	wardrobe
skłod	warehouse
magazyn	warehouse
ciepły	warm
ciepło	warm
ôstrzegać	warn
ôstrzeżynie	warning
bojownik	warrior
bōł	was
myć	wash
prać	wash
marnić	waste
hasie	waste
ôglōndać	watch
zygarek	watch
patrzeć	watch
woda	water
arbuz	watermelon
wela	wave
kiwać	wave
drōga	way
spōsōb	way
my	we
my sōm	we are
sōm my	we are
mogymy	we can
słaby	weak
słabość	weakness
bogajstwo	wealth
możny	wealthy
nosić	wear
nosi	wearing
ôblyko	wearing
pogoda	weather
ślub	wedding
wesele	wedding
strzoda	Wednesday
kwost	weed
tydziyń	week
weekend	weekend
łikynd	weekend
woga	weight
dziwny	weird
witōmy	welcome
witej	welcome
zasiyłek	welfare
społeczno ôpieka	welfare
dobro	welfare
Cōż	Well
dobro robota	well done
dobrze zrobiōny	well done
poszoł	went
byli	were
zachōd	west
mokry	wet
wieloryb	whale
co	what
a ty	what about you
co robisz	what are you doing
co terozki robisz	what are you doing now
co teroz robisz	what are you doing now
co teroz robisz	what are you doing right now
co robisz	what do you do
za kogo robisz	what do you do for a living
co mosz na myśli	what do you mean
co chcesz	what do you want
co sie stało	what happened
co je	what is
co to je	what is this
za kogo robisz	what is your job
kaj robisz	what is your job
jak sie mianujesz	what is your name
co słychać	what's up
jake je twoje miano	what's your name
co ino	whatever
lecy co	whatever
pszynica	wheat
koło	wheel
kej	when
kedy	when
kej	whenever
dycki	whenever
kaj	where
kaj żeś je	where are you
skōnd żeś je	where are you from
kaj żeś teroz je	where are you now
kaj miyszkosz	where do you live
kaj je	where is
w czasie kej	whereas
kej	whereas
za to	whereas
eli	whether
kery	which
w czasie kej	while
kedy	while
przi	while
szkamry	whisper
gwizdać	whistle
bioły	white
fto	who
ftoś ty je	who are you
fto je	who is
fto to je	who is this
cołki	whole
cołkość	whole
kogo	whom
ôd kogo	whose
co ôd niego	whose
czyj	whose
pojakymu	why
czymu	why
czymu niy	why not
zelżywy	wicked
szyroki	wide
gdowa	widow
szyrokość	width
żōna	wife
dziki	wild
bydzie	will
wōlo	will
chyntliwy	willing
chyntny	willing
zwyciynstwo	win
wygrować	win
wygrać	win
wiatrowy	wind
wiater	wind
kryńcić	wind
ôkno	window
wietrzny	windy
wino	wine
zima	winter
wytrzeć	wipe
drōt	wire
mōndrość	wisdom
mōndry	wise
winsz	wish
życzynie	wish
Winszuja ci wszyjskigo nojlepszego	wish you all the best
czarownica	witch
heksa	witch
z	with
wycofać	withdraw
wycofować	withdraw
wycofanie	withdrawal
we postrzodku	within
bez	without
świadek	witness
szpasowny	witty
wilk	wolf
kobiyta	woman
kobiyty	women
wygroł	won
niy bydzie	won't
zastanowiać sie	wonder
szumny	wonderful
drzewo	wood
wołna	wool
słowo	word
słowa	words
robota	work
ćwiczyć	work out
robiōncy	working
świat	world
chrobok	worm
rosōwa	worm
noszōny	worn
zestarany	worried
stropiōny	worried
tropić sie	worry
gorzij	worse
gorszy	worse
czcić	worship
nojgorszy	worst
wert	worth
warte tego	worth it
godne	worthy
by bōł	would
rana	wound
ranić	wound
Ciup	Wow
zawinōńć	wrap
zawijać	wrap
zgorszynie	wrath
nadgorstek	wrist
pisać	write
Napisz tukej	Write here
pismo	writing
pisymny	written
felerny	wrong
zły	wrong
napisoł	wrote
jard	yard
ôgrōdek	yard
plac	yard
ziywać	yawn
Ja	Yeah
rok	year
lata	years
drōżdże	yeast
krzik	yell
ryczeć	yell
krziczeć	yell
żōłty	yellow
Ja	Yes
ja, dziubku	yes baby
ja, dziubku	yes dear
ja, skarbie	yes honey
ja, dziubek	yes my love
toć, iże ja	yes of course
wczorej	yesterday
wczora	yesterday
jeszcze	yet
już	yet
ulygać	yield
ustympować	yield
plōn	yield
ty	you
je żeś	you are
je żeś szwarno	you are beautiful
je żeś piykno	you are beautiful
je żeś tako piykno	you are so beautiful
niy ma za co	you are welcome
mogesz	you can
możesz	you can
Wiysz	You know
ciebie tyż	you too
ty tyż	you too
niy ma za co	you're welcome
mody	young
twōj	your
żodyn problym	your welcome
prosza bardzo	your welcome
sie	yourself
ciebie	yourself
cie	yourself
modziyż	youth
Niy ma za co	you’re welcome
pyszny	yummy
nul	zero
