abandoned	qimataq
viral	assilialiaq
virgin	ilaqarnikuunngitsoq
virtual	piumassuseq
virtue	ajunngissuseq
vision	takorluugaq
visit	pulaartoq
visual	takussaasoq
vital	uummaarissoq
vivid	uumasoq
vocabulary	oqaatsit atorsinnaasat
voice	nipi
void	atorsinnaanngilaq
volume	nipitussuseq
volunteer	piumassutsiminik sulisoq
vomit	meriarneq
vulnerable	sunnertiasoq
wage	akissarsiat
wages	aningaasarsiat
waist	qiti
waiter	saqisoq
waiting	utaqqineq
wait	utaqqilaarit
wake	eqqumavoq
wake up	iterit
walking	pisunneq
walk	pisuppoq
wallet	aningaasivik
wall	iigaq
wander	pisuttuarneq
wanted	piumaneqartoq
want	perusuppaa
wardrobe	atisaajartarfik
warehouse	toqqorsivik
warm	kissarpoq
warn	aarlerisaarpaa
warning	mianersoqqussut
warrior	sorsuttartoq
war	sorsunneq
wash	errorfik
waste	sinnikut
watch	isiginnaarpoq
water	Imeq
watermelon	vandmeloni
wave	mallit
way	aqqut
weakness	sanngiissuseq
weak	sanngiitsoq
wealth	pisuussutit
wealthy	pisooq
wear	atorpai
we are	uagut
wearing	atorpaa
weather	sila
we can	-liorsinnaavugut
wedding	katittorsiorneq
Wednesday	Pingasunngorneq
weed	ikiaroornartoq
weekend	sapaatip akunnerata naanera
week	sapaatip akunnera
weight	oqimaassuseq
weird	eqqumiitsoq
welcome	tikilluarit
welfare	atugarissaarneq
Well	Ajunngilaq
well done	torrak
went	ingerlavoq
were	simavoq
west	kitaa
wet	masattoq
we	uagut
whale	arfeq
what about you	illimmi
what are you doing now	maannakkut sulerivit
what are you doing right now	maannakkorpiaq sulerivit
what are you doing	sulerivit
what do you do for a living	suna inuussutissarsiutigaajuk
what do you do	qanoq iliorpit
what do you mean	suna piviuk
what do you want	suna piumaviuk
whatever	imminiik
what happened	susoqarami
what is	sunaava
what is this	unaana suna
what is your job	suna suliffigaajuk
what is your name	qanoq ateqarpit
what	suna
what's up	suit
what's your name	qanoq ateqarpit
wheat	qaqorteqqasut
wheel	assakaasoq
whenever	qaquguluunniit
when	qanga
where are you from	suminngaanneerpit
where are you now	maannakkut sumiippit
where are you	sumiippit
whereas	akerlinanilli
where do you live	sumi najugaqarpit
where is	sumiippa
where	sumi
which	imaattoq
while	utaqqiisaa
whisper	isussuppoq
whistle	siggartaat
white	qaqortoq
who are you	kinaavit
who is	kinaava
who is this	unaana kina
who	kina
whole	tamaat
why not	sooq
why	sooq
wicked	ajortoq
wide	siammasissoq
widow	uillarneq
width	takissusaa
wife	nuliaq
wild	nujuartaq
willing	piumavoq
win	ajungaaneq
wind	anori
window	igalaaq
windy	anorlerpoq
wine	viinni
winter	ukioq
wipe	panersiineq
wire	ataneq
wisdom	ilisimassuseq
wise	ilisimatooq
wish	kissaat
wish you all the best	tamanik ajunnginnerpaanik kissaappakkit
witch	arnaqquassaaq
withdrawal	tingusineq
withdraw	tingusineq
with	ilaatillugu
within	akornani
without	ilanngunnagu
witness	uppernarsaasoq
witty	quianartoq
wolf	amaroq
woman	arnaq
women	arnat
won	ajugaavoq
wonder	eqqarsaatigaa
wonderful	nuanneq
won't	taamaaliorusunngilaq
wood	qisuk
wool	savap meqqui
word	oqaaseq
words	oqaatsit
working	sulineq
work out	timersorneq
work	suliaq
world	nunarsuaq
worm	quperloq
worn	pisoqalisimasoq
worried	annilaagavoq
worry	isumaalunneq
worse	ajorneq
worship	piareersarpaa
worst	ajornerpaaq
worth it	iluaqutaavoq
worth	nalinga
worthy	ataqqinarpaluttoq
wound	iki
Wow	kusanaq
wrap	poortornera
wrath	kamak
wrist	paffeq
write	allappoq
Write here	Uani allagit
writing	allanneq
written	allaqqavoq
wrong	kukkusoq
wrote	allappaa
yard	naatsiivik
yawn	aatsaarpoq
Yeah	Yeah
years	Ikiut
year	ukioq
yeast	qapuaqqat
yell	nilliavoq
yellow	sungaartoq
Yes	Aap
yes baby	aap asasara
yes dear	sap asasara
yes honey	aap asasara
yes my love	aap asasara
yes of course	aap soorunalimi
yesterday	ippassaq
yet	suli
yield	iluanaarutit
you are beautiful	pinnerputit
you are	illit
you are so beautiful	Apinnersuaarputit
you are welcome	illillu
you can	taamaaliorsinnavutit
you	illit
You know	nalunngilat
young	inuusuttoq
you're welcome	illillu
you’re welcome	Illillu
your	illit piit
yourself	illit nammineq
your welcome	illillu
youth	inuusunneq
you too	aamma illit
yummy	mamaq
zero	anul
